tdate,dis_name,positive_cases
2020-07-08,Chittagong,4
2020-07-08,Dhaka,10
2020-07-08,Gazipur,1
2020-07-08,Sunamganj,1
2020-07-08,Sylhet,2
2020-07-07,Bandarban,2
2020-07-07,Chittagong,16
2020-07-07,Comilla,7
2020-07-07,Cox's Bazar,5
2020-07-07,Dhaka,50
2020-07-07,Kishoreganj,1
2020-07-07,Narayanganj,5
2020-07-07,Jamalpur,1
2020-07-06,Chandpur,4
2020-07-06,Chittagong,28
2020-07-06,Comilla,7
2020-07-06,Cox's Bazar,1
2020-07-06,Feni,1
2020-07-06,Dhaka,64
2020-07-06,Rajbari,8
2020-07-06,Bagerhat,1
2020-07-06,Jamalpur,1
2020-07-06,Sunamganj,1
2020-07-06,Sylhet,3
2020-07-05,Bandarban,1
2020-07-05,Chandpur,4
2020-07-05,Chittagong,19
2020-07-05,Comilla,12
2020-07-05,Feni,1
2020-07-05,Dhaka,73
2020-07-05,Faridpur,1
2020-07-05,Gazipur,2
2020-07-05,Madaripur,2
2020-07-05,Manikganj,1
2020-07-05,Munshiganj,2
2020-07-05,Narayanganj,5
2020-07-05,Narsingdi,1
2020-07-05,Habiganj,1
2020-07-05,Maulvibazar,1
2020-07-05,Sunamganj,5
2020-07-04,Pirojpur,1
2020-07-04,Chittagong,12
2020-07-04,Comilla,6
2020-07-04,Feni,1
2020-07-04,Dhaka,36
2020-07-04,Faridpur,1
2020-07-04,Gazipur,1
2020-07-04,Narsingdi,1
2020-07-04,Shariatpur,1
2020-07-04,Bagerhat,1
2020-07-04,Khulna,3
2020-07-04,Jamalpur,3
2020-07-04,Naogaon,1
2020-07-04,Pabna,11
2020-07-04,Sylhet,8
2020-07-03,Barguna,1
2020-07-03,Barisal,7
2020-07-03,Bhola,3
2020-07-03,Jhalokati,3
2020-07-03,Patuakhali,2
2020-07-03,Pirojpur,4
2020-07-03,Bandarban,22
2020-07-03,Brahamanbaria,30
2020-07-03,Chandpur,40
2020-07-03,Chittagong,133
2020-07-03,Comilla,50
2020-07-03,Cox's Bazar,68
2020-07-03,Feni,11
2020-07-03,Khagrachhari,22
2020-07-03,Lakshmipur,3
2020-07-03,Noakhali,3
2020-07-03,Rangamati,31
2020-07-03,Dhaka,396
2020-07-03,Faridpur,4
2020-07-03,Gazipur,22
2020-07-03,Kishoreganj,28
2020-07-03,Madaripur,33
2020-07-03,Manikganj,11
2020-07-03,Munshiganj,5
2020-07-03,Narayanganj,38
2020-07-03,Narsingdi,7
2020-07-03,Rajbari,30
2020-07-03,Shariatpur,1
2020-07-03,Tangail,9
2020-07-03,Bagerhat,2
2020-07-03,Chuadanga,23
2020-07-03,Jessore,3
2020-07-03,Jhenaidah,19
2020-07-03,Khulna,4
2020-07-03,Kushtia,66
2020-07-03,Meherpur,11
2020-07-03,Narail,18
2020-07-03,Jamalpur,24
2020-07-03,Mymensingh,104
2020-07-03,Netrakona,8
2020-07-03,Sherpur,4
2020-07-03,Bogra,61
2020-07-03,Joypurhat,2
2020-07-03,Naogaon,92
2020-07-03,Natore,36
2020-07-03,Pabna,20
2020-07-03,Rajshahi,21
2020-07-03,Sirajganj,2
2020-07-03,Dinajpur,4
2020-07-03,Gaibandha,6
2020-07-03,Lalmonirhat,2
2020-07-03,Nilphamari,3
2020-07-03,Panchagarh,1
2020-07-03,Rangpur,3
2020-07-03,Thakurgaon,2
2020-07-03,Habiganj,26
2020-07-03,Maulvibazar,34
2020-07-03,Sunamganj,66
2020-07-03,Sylhet,42
2020-07-02,Barisal,4
2020-07-02,Bhola,2
2020-07-02,Jhalokati,1
2020-07-02,Patuakhali,2
2020-07-02,Bandarban,11
2020-07-02,Brahamanbaria,44
2020-07-02,Chandpur,86
2020-07-02,Chittagong,290
2020-07-02,Comilla,158
2020-07-02,Cox's Bazar,39
2020-07-02,Feni,33
2020-07-02,Khagrachhari,13
2020-07-02,Lakshmipur,1
2020-07-02,Noakhali,3
2020-07-02,Rangamati,37
2020-07-02,Dhaka,610
2020-07-02,Faridpur,22
2020-07-02,Gazipur,23
2020-07-02,Gopalganj,2
2020-07-02,Kishoreganj,4
2020-07-02,Madaripur,39
2020-07-02,Manikganj,5
2020-07-02,Munshiganj,18
2020-07-02,Narayanganj,74
2020-07-02,Narsingdi,4
2020-07-02,Rajbari,30
2020-07-02,Shariatpur,1
2020-07-02,Tangail,20
2020-07-02,Bagerhat,4
2020-07-02,Chuadanga,25
2020-07-02,Jessore,11
2020-07-02,Jhenaidah,19
2020-07-02,Khulna,21
2020-07-02,Kushtia,72
2020-07-02,Magura,2
2020-07-02,Meherpur,13
2020-07-02,Narail,19
2020-07-02,Satkhira,4
2020-07-02,Jamalpur,12
2020-07-02,Mymensingh,39
2020-07-02,Netrakona,8
2020-07-02,Sherpur,2
2020-07-02,Bogra,8
2020-07-02,Naogaon,35
2020-07-02,Natore,23
2020-07-02,Nawabganj,3
2020-07-02,Pabna,19
2020-07-02,Rajshahi,2
2020-07-02,Dinajpur,2
2020-07-02,Gaibandha,53
2020-07-02,Kurigram,30
2020-07-02,Lalmonirhat,6
