tdate,dis_name,positive_cases
3/20/2020,Dhaka,1
3/22/2020,Dhaka,1
3/27/2020,Dhaka,2
3/6/2020,Dhaka,3
4/10/2020,Dhaka,34
4/11/2020,Dhaka,25
4/12/2020,Dhaka,47
4/13/2020,Dhaka,63
4/14/2020,Dhaka,68
4/15/2020,Dhaka,80
4/16/2020,Dhaka,95
4/17/2020,Dhaka,115
4/18/2020,Dhaka,98
4/19/2020,Dhaka,120
4/20/2020,Dhaka,177
4/21/2020,Dhaka,159
4/22/2020,Dhaka,152
4/23/2020,Dhaka,132
4/24/2020,Dhaka,259
4/25/2020,Dhaka,122
4/26/2020,Dhaka,199
4/27/2020,Dhaka,142
4/28/2020,Dhaka,220
4/29/2020,Dhaka,236
4/30/2020,Dhaka,201
4/5/2020,Dhaka,5
4/6/2020,Dhaka,54
4/7/2020,Dhaka,19
4/8/2020,Dhaka,33
4/9/2020,Dhaka,53
5/1/2020,Dhaka,316
5/10/2020,Dhaka,146
5/11/2020,Dhaka,510
5/12/2020,Dhaka,279
5/13/2020,Dhaka,419
5/14/2020,Dhaka,246
5/15/2020,Dhaka,438
5/16/2020,Dhaka,452
5/17/2020,Dhaka,622
5/18/2020,Dhaka,613
5/19/2020,Dhaka,558
5/2/2020,Dhaka,117
5/20/2020,Dhaka,608
5/21/2020,Dhaka,755
5/22/2020,Dhaka,685
5/23/2020,Dhaka,699
5/24/2020,Dhaka,630
5/25/2020,Dhaka,262
5/26/2020,Dhaka,733
5/27/2020,Dhaka,819
5/28/2020,Dhaka,904
5/29/2020,Dhaka,553
5/3/2020,Dhaka,293
5/30/2020,Dhaka,518
5/31/2020,Dhaka,1358
5/4/2020,Dhaka,269
5/5/2020,Dhaka,294
5/6/2020,Dhaka,362
5/7/2020,Dhaka,207
5/8/2020,Dhaka,226
5/9/2020,Dhaka,245
6/1/2020,Dhaka,613
6/10/2020,Dhaka,980
6/11/2020,Dhaka,1021
6/12/2020,Dhaka,729
6/13/2020,Dhaka,987
6/14/2020,Dhaka,610
6/15/2020,Dhaka,1126
6/16/2020,Dhaka,831
6/17/2020,Dhaka,1480
6/18/2020,Dhaka,1086
6/19/2020,Dhaka,855
6/2/2020,Dhaka,1167
6/20/2020,Dhaka,1245
6/21/2020,Dhaka,1305
6/22/2020,Dhaka,876
6/23/2020,Dhaka,927
6/24/2020,Dhaka,802
6/25/2020,Dhaka,670
6/26/2020,Dhaka,704
6/27/2020,Dhaka,1368
6/28/2020,Dhaka,1707
6/29/2020,Dhaka,577
6/3/2020,Dhaka,1098
6/30/2020,Dhaka,1021
6/4/2020,Dhaka,990
6/5/2020,Dhaka,795
6/6/2020,Dhaka,660
6/7/2020,Dhaka,714
6/8/2020,Dhaka,686
6/9/2020,Dhaka,881
7/1/2020,Dhaka,879
7/2/2020,Dhaka,610
7/3/2020,Dhaka,396
